case,fold,filename,iou,n_polygons,call_seconds,error,notes
12:00140:ART4,1,12_00140_ART4.png,0.7610451917478686,1,6.42,"","Red solid outline around the site including Colney Hall and adjacent areas."
12:00141:ART4,2,12_00141_ART4.png,0.88931805725918,1,3.64,"","Solid red line tracing the boundary of a rectangular plot south of a stream/ditch."
12:00154:ART4,2,12_00154_ART4.png,0.8687932373606921,1,4.29,"","Red solid line enclosing a plot of land bounded by Watton Road and Little Melton Lane."
12:00156:ART4,3,12_00156_ART4.png,0.7147276887871854,1,4.92,"","Red solid outline outlining the boundary area inside a larger black boundary outline."
12:00158:ART4,4,12_00158_ART4.png,0.8003964821094554,1,6.71,"","Red solid line indicating the site boundary, covering fields and tracing adjacent roads."
12:00160:ART4,0,12_00160_ART4.png,0.853632607325443,2,4.67,"",""
12:00161:ART4,1,12_00161_ART4.png,0.19118839935551976,1,4.78,"","Red solid outline encompassing a group of properties labeled 'St Ethelbert's Close'."
12:00162:ART4,2,12_00162_ART4.png,0.11511566441881962,1,8.84,"","Red solid outline denoting the site area around the airfield."
12:00164:ART4,3,12_00164_ART4.png,0.6771216691109327,1,3.21,"","I traced the red hatched area outlined in red, which appears to be the site boundary."
12:00166:ART4,4,12_00166_ART4.png,0.9057656729235677,1,4.15,"","Traced the thick solid red boundary enclosing 'The Hangings', 'Glen Lodge Farm', and adjacent areas."
12_merged,0,12_merged.png,0.647497941004466,2,9.87,"","Traced the thick solid red boundary around EAST FARM and the thick solid blue boundary around DAWPOOL FARM, as indicated"
17:00022:ART4,1,17_00022_ART4.png,0.35734162001797376,7,9.65,"","Traced multiple disconnected boundaries filled with grey shading as identified by the legend."
1D1A9561-7534-409B-9937-29C887F66069,2,1D1A9561-7534-409B-9937-29C887F66069.png,0.9690976075114772,1,4.48,"","Traced the boundary of the main stippled area which has a thin black outline and fills a central large field."
22,3,22.png,0.3856587152942145,1,3.49,"","Traced the solid black drawn rectangular boundary on the map."
23,4,23.png,0.8429690536899044,1,5.46,"","Traced the thick solid black boundary line that marks the site plan outline on Kensington Square."
23:00004:REG_4,0,23_00004_REG_4.png,0.20335647816826072,1,9.13,"","Solid black outline defining Westminster Boundary"
23:00006:REG_4,1,23_00006_REG_4.png,0.5601749898127636,1,,"","resumed from existing pred_mask"
23:53135:ART4,2,23_53135_ART4.png,0.8281630534594961,1,3.76,"","Red solid outline around White Horse Inn and Bank."
23:53149:ART4,3,23_53149_ART4.png,0.9160822643317187,1,4.66,"","Red solid outline around a site south-east of the Foulsham Airfield text on the map."
23:53155:ART4,4,23_53155_ART4.png,0.9098803736301362,1,4.46,"","Red solid outline traced around the site labelled 'Church Farm'."
23:53159:ART4,0,23_53159_ART4.png,0.873726819475754,1,3.82,"","Thick red solid line encosing an area on the map."
23:53160:ART4,1,23_53160_ART4.png,0.8435863400176895,1,8.48,"","Traced the thick red line outlining the Charles Close Article 4 boundary area."
23:53161:ART4,2,23_53161_ART4.png,0.4213755794986954,1,9.89,"","Red solid outline representing a complex site boundary covering numerous properties/structures in central Reepham."
23:53162:ART4,3,23_53162_ART4.png,0.3258897822294605,1,6.13,"","Traced the thick red line denoting the 'Boundary of Article 4 Designation', as specified in the legend, which encloses G"
25,4,25.png,0.17549609980435502,1,4.65,"","Traced a dark thick line delineating numbers 1-27 Drayson Mews as indicated by the text overlay."
2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64,0,2ACB6DFF-E424-4EB5-BD0C-90BA056BDC64.png,0.04820810114886408,1,9.47,"","A thick black outline bounding land adjoining the River Stour."
2CCA14C4-32BC-443D-9148-22DFE30A3DAC,1,2CCA14C4-32BC-443D-9148-22DFE30A3DAC.png,0.8787736562255878,1,4.9,"","Traced the thick solid red boundary marking the area in the top-left of the page."
32,2,32.png,0.48706989921214616,3,4.36,"","Traced three separate solid black outlines with diagonal hatching."
35046BA6-A370-41C1-8316-8797AF1524DD,3,35046BA6-A370-41C1-8316-8797AF1524DD.png,0.13593201868506602,1,7.13,"","I traced the thick black outlined boundary which represents the Area of Article 4 Direction according to the legend in t"
3DA282A7-E829-47CF-B842-E03E0C704072,0,3DA282A7-E829-47CF-B842-E03E0C704072.png,0.5795144182557864,1,6.61,"","Red solid fill area."
42,4,42.png,0.45015948963317387,1,5.44,"","Solid black fill marking a single property at 43 Shawfield Street S.W.3."
43,0,43.png,0.14719639160264855,1,,"","resumed from existing pred_mask"
43C82C9C-0E1B-4CAE-83F8-E33277D7AC41,1,43C82C9C-0E1B-4CAE-83F8-E33277D7AC41.png,0.6723077543374294,1,7.63,"","Red shading showing area of application."
45,2,45.png,0.037596233058590826,1,,"","resumed from existing pred_mask"
498E1484-1D2E-418C-9547-A93AE9A57BB0,3,498E1484-1D2E-418C-9547-A93AE9A57BB0.png,0.19155889419067795,3,9.66,"","Red outlined solid polygons representing boundary traced in map."
4AB36890-E52B-4CCC-9CDE-FB1476FCEB82,0,4AB36890-E52B-4CCC-9CDE-FB1476FCEB82.png,0.8797534294148289,1,2.79,"","Traced a red solid outline denoting a rectangular plot of land."
563A71DE-DC37-4251-9F93-7D0EC49A3559,4,563A71DE-DC37-4251-9F93-7D0EC49A3559.png,0.0,1,6.34,"","Traced the solid dark blue outline containing pink shading."
5B10B5A8-B0A0-4DB3-9867-55B78F678079,0,5B10B5A8-B0A0-4DB3-9867-55B78F678079.png,0.6326639542018384,2,6.6,"","Traced the thick dashed black outline marking the Article 4 direction area, divided into two distinct but adjacent polyg"
5FA84190-A72E-4E26-A5B2-C17B67D4BB11,1,5FA84190-A72E-4E26-A5B2-C17B67D4BB11.png,0.055397229014273804,1,7.63,"","Red solid fill along the coastal boundary edge stretching horizontally forming a contiguous region."
641BF666-7262-4847-9393-17841CF92430,2,641BF666-7262-4847-9393-17841CF92430.png,0.6968394004915094,1,,"","resumed from existing pred_mask"
69,3,69.png,0.6956142264891992,1,4.27,"","Solidly filled boundary showing the planned development structure."
71,4,71.png,0.30804455018792454,1,6.4,"","Solidly shaded area spanning back gardens and houses between Bracewell Road and Brewster Gardens."
7202D619-4C27-4DA4-857E-B89F78C9D8D5,0,7202D619-4C27-4DA4-857E-B89F78C9D8D5.png,0.9376677097352147,1,3.84,"","Traced the solid pink shaded polygonal area."
79,1,79.png,0.8998259704596987,1,11.91,"","Solid black line defining the entire borough of the Royal Borough of Kensington and Chelsea."
85,2,85.png,0.1899288535714424,90,69.74,"","Red solid line shading with black stroke denoting boundary for Proposed Article 4 Directions"
8609F3A9-3398-4F70-809B-B7ADF17E541F,3,8609F3A9-3398-4F70-809B-B7ADF17E541F.png,0.258127699375533,1,5.55,"","Traced the thick black outline encompassing two hatched areas in the bottom right of the map, representing the Article 4"
862ACE10-49B0-4423-B47D-F771D78D285D,4,862ACE10-49B0-4423-B47D-F771D78D285D.png,0.22936478225497803,1,,"","resumed from existing pred_mask"
8CAFB06E-C92F-41CC-B701-6A38171FFAC2,0,8CAFB06E-C92F-41CC-B701-6A38171FFAC2.png,0.19711215138128832,1,4.17,"","Red solid fill identifying the site boundary on the map."
983981FC-89B6-466B-A76B-2FC9F050B5CF,1,983981FC-89B6-466B-A76B-2FC9F050B5CF.png,0.8143760292220977,1,10.7,"","Trace of continuous red line depicting bounding area."
A002S,2,A002S.png,0.5464217232634379,1,4.6,"","Solid red line tracing the boundary of a single property building structure."
A003S,3,A003S.png,0.3745662734212353,1,5.36,"","Traced the small red solid outline corresponding to the site located between Main Street and Orchard Road in front of Br"
A005S,4,A005S.png,0.5263975155279503,1,3.7,"","Traced the thick red line outlining a building, indicated by an arrow labelled 'THE SITE'."
A008S,0,A008S.png,0.4275430359937402,1,6.32,"","Red solid outline around a small property labelled '37a' on Main Street."
A014S,1,A014S.png,0.5620496397117695,1,4.38,"","Red solid outline around a small property labeled 'THE SITE' near the center, indicated by an arrow pointing to it."
A016S,2,A016S.png,0.3351609728665823,1,4.33,"","Traced the solid red line bounding the property indicated by the label 'THE SITE'."
A018S,3,A018S.png,0.0,1,4.5,"","Red solid outline around a narrow rectangular/L-shaped building or plot located south of Garthside."
A030S,4,A030S.png,0.18343540390784485,1,3.45,"","Solid red line tracing the very small rectangular structure labeled The site."
A084S,0,A084S.png,0.6550964187327823,1,3.31,"","Red solid outline around a single building plot."
A097S,1,A097S.png,0.03237139272271016,1,3.68,"","Red solid outline around a small property labeled 'Southcroft'."
A100S,2,A100S.png,0.653952321204517,1,4.06,"","Traced the red outline denoting 'THE SITE' as indicated by the label and line."
A105H,3,A105H.png,0.8972165902246019,1,3.78,"","Red solid line outlining 'THE SITE'."
A108P_p4,1,A108P_p4.png,0.9680588491799254,1,6.74,"","Red solid line enclosing a large urban area bounded by main roads."
A108P_p5,1,A108P_p5.png,0.7020700820090147,2,13.76,"","red solid outline encompassing the hampton area, defining the article four boundary"
A108P_p6,1,A108P_p6.png,0.7641871400657535,1,8.53,"","Red solid outline around the Park Area."
A4Ba1,4,A4Ba1.png,0.4302981904508619,2,14.95,"","Solid purple outline around the Belsize Park CA."
A4D-04,0,A4D-04.png,0.8715854887331321,1,7.49,"","Traced the thick solid black outline defining the hatched site boundary area running across the map from top left genera"
A4D-08,1,A4D-08.png,0.6842642183116552,1,4.31,"","A single grey hatched polygon boundary has been drawn."
A4D-11,2,A4D-11.png,0.959477905889552,1,3.83,"","black thick solid line drawn around the site boundary"
A4D-16,3,A4D-16.png,0.3478324387139616,1,8.05,"","I traced the solid brown line enclosing Sydney Farm outlining the boundary on the base map."
A4D-21,4,A4D-21.png,0.5958185336301359,2,5.27,"","Two black solid outlines denoting the proposed Article 4(1) site boundaries."
A4D-24,0,A4D-24.png,0.48824278870655385,1,9.09,"","Traced the thick solid black boundary line demarcating the cross-hatched area."
A4D03,1,A4D03.png,0.8584075683245386,1,9.7,"","Solid thick red outline indicating the boundary of the Barking and Dagenham site notices area on the central map."
A4D10,2,A4D10.png,0.7767143698010344,1,11.15,"","I traced the dashed line defining the Article 4 Direction boundary for Henbury."
A4D10A1,3,A4D10A1.png,0.9033099661970553,1,3.78,"","Red dashed line showing the boundary of strings of buildings along Ballards Lane and some adjacent green spaces."
A4D11,4,A4D11.png,0.24119625464872912,1,6.48,"","Red solid outline around Redland area"
A4D12,0,A4D12.png,0.5738150760060117,1,,"","resumed from existing pred_mask"
A4D13,1,A4D13.png,0.08658334480599938,1,20.72,"","Solid red line tracing the boundary of a complex polygonal area containing multiple neighborhoods and street patterns."
A4D14,2,A4D14.png,0.3838994062550757,1,,"","resumed from existing pred_mask"
A4D14A1,3,A4D14A1.png,0.9323873508396467,1,,"","resumed from existing pred_mask"
A4D15,4,A4D15.png,0.9064238410085276,1,,"","resumed from existing pred_mask"
A4D16,0,A4D16.png,0.9199055016231078,1,4.88,"","Traced a red solid boundary outlining a large block of residential properties bounded by Westbury Road, Henleaze Avenue,"
A4D4A1,1,A4D4A1.png,0.7019264502879462,1,,"","resumed from existing pred_mask"
A4D5,2,A4D5.png,0.8212022137390638,1,8.11,"","Red solid outline encompassing parts of Horfield, Ashley Down, Bishopston and surrounding areas."
A4D5A_merged,3,A4D5A_merged.png,0.21048951348022443,1,7.25,"","Traced the dashed/dotted outline indicating the 'Extent of Article 4 Control' around several plots shown on the map."
A4D6,4,A4D6.png,0.6915767016825521,1,,"","resumed from existing pred_mask"
A4D6A_merged_p10,3,A4D6A_merged_p10.png,0.6485395220253901,2,5.48,"","Two shaded areas with thick solid borders identified in the key as 'Extent of Article 4 control'."
A4D6A_merged_p9,3,A4D6A_merged_p9.png,0.45099598412640185,7,18.35,"","solid dark boundary marking extent of Article 4 control, with lighter shaded regions marking extensions under 1977 GDO t"
A4D7,0,A4D7.png,0.8633907747945384,1,9.1,"","Red solid outline encompassing a large area within Bristol, extending mostly south of the river."
A4D8,1,A4D8.png,0.8964769968035383,1,7.98,"","Red solid outline enclosing part of Avonmouth settlement."
A4D8A_merged,2,A4D8A_merged.png,0.05411863019305546,1,,"","resumed from existing pred_mask"
A4D9,3,A4D9.png,0.8864687630285412,1,5.65,"","Thick black dashed line surrounding residential streets (Peart Drive, The Ridings, Malago Walk)."
A4DA01,4,A4DA01.png,0.8704320984046077,1,6.98,"","Traced the thick red line surrounding the shaded areas."
A4DA02,0,A4DA02.png,0.8189405682297264,1,,"","resumed from existing pred_mask"
A4DA03,1,A4DA03.png,0.4171748666910044,1,4.77,"","Traced the thick red line boundary marking an area of land near Tunstead."
A4DA04,2,A4DA04.png,0.9264228559277102,1,5.2,"","Red solid outline around a large site containing farmlands and several properties."
A4DA05,3,A4DA05.png,0.8058495367758597,1,4.56,"","Red solid outline around a polygon next to Collinge Fold Lane."
A4DA06,4,A4DA06.png,0.8160644803283827,1,8.41,"","Traced the thick dashed black line marking the boundary of the Conservation Area."
A4Da1,0,A4Da1.png,0.7499338789866375,1,,"","resumed from existing pred_mask"
A4Da2,1,A4Da2.png,0.5366067165366863,1,4.84,"","Traced the thick red line denoting the Article 4 Direction Boundary as indicated in the legend."
A4Da3,2,A4Da3.png,0.8647000512090504,1,,"","resumed from existing pred_mask"
A4EC3a1,3,A4EC3a1.png,0.10937987900319888,10,24.79,"","Red solid outlines tracing the multiple sub-regions comprising the complex Article 4 direction area, excluding base map "
A4FNa1,4,A4FNa1.png,0.4225246378352112,1,10.86,"","Solid red line outlining a specific urban/residential conservation area spanning multiple streets and properties, runnin"
A4Ha1,0,A4Ha1.png,0.1655086360878223,1,,"","resumed from existing pred_mask"
A4KTRa1,1,A4KTRa1.png,0.9123330967335842,1,3.61,"","Red solid line outlining 'Castle (PH)' block in the centre of the map."
A4RFa1,2,A4RFa1.png,0.5465056817835101,1,14.16,"","Red solid outline around the Redington/Frognal Conservation Area"
A4Sa1,3,A4Sa1.png,0.9106175955902358,1,50.38,"","Traced the thick purple solid line denoting the 'Swiss Cottage CA' (Conservation Area) boundary as distinguished in the "
A4_002:CA,4,A4_002_CA.png,0.22343227708299168,1,,"","resumed from existing pred_mask"
A4_088:LL:016,0,A4_088_LL_016.png,0.7575913801103263,1,,"","resumed from existing pred_mask"
A4_093:LL:012,1,A4_093_LL_012.png,0.6566090551052957,1,3.7,"","Traced the red solid line boundary enclosing the site labelled 'Former Hoskins Brewery'."
A4_094:LL:013,2,A4_094_LL_013.png,0.8915980152418034,1,4.5,"","Red solid outline around St Patrick's RC Church and Presbytery."
A4_097:LL:030,3,A4_097_LL_030.png,0.9228568304417554,1,3.98,"","Traced the red solid line boundary encompassing the central property on Painter Street."
A4_101:LL:069,4,A4_101_LL_069.png,0.8238743828698022,1,5.74,"","Red solid outline around a row of semi-detached houses."
A4_102:LL:077,0,A4_102_LL_077.png,0.9299725832343568,1,5.17,"","Red solid outline around Haymarket Theatre"
A4_112:LL:048,1,A4_112_LL_048.png,0.8306822385456851,1,,"","resumed from existing pred_mask"
A4aSHP1,2,A4aSHP1.png,0.5101824963367524,5,8.01,"","Five solid black outlined areas that consist of individual and grouped properties bordering South Hill Park."
ART4:15:00001,3,ART4_15_00001.png,0.914326957523479,1,5.03,"","Traced the thick red polygon outlining the field areas, marked as the site boundary."
ART4:22:00001,4,ART4_22_00001.png,0.7875389176976424,1,13.12,"","Red outline marking the New Forest National Park Boundary"
ART4:66:00001,0,ART4_66_00001.png,0.8012956525664755,1,,"","resumed from existing pred_mask"
ART4:82:00001,1,ART4_82_00001.png,0.5379461017393248,1,13.98,"","A red solid outline denoting the site boundary"
ARTICLE:200,2,ARTICLE_200.png,0.015780516734567582,1,3.83,"","Red solid fill around the plot marked 'Application Site' in the legend."
ARTICLE:210,3,ARTICLE_210.png,0.37359122753579044,1,3.66,"","Traced the thick red line with a dotted fill designating the proposed Direction area identified in the legend."
ARTICLE:230,4,ARTICLE_230.png,0.8786810132927617,1,3.89,"","Traced the thick solid black boundary line forming a roughly triangular shape east of the road."
ARTICLE:260,0,ARTICLE_260.png,0.8302634474821012,1,15.78,"","Traced the solid orange outline around the estate."
ARTICLE:270,1,ARTICLE_270.png,0.8286166710115961,1,3.35,"","Thick solid black line defining an area labeled 'Allotment Gardens'."
Ar4.10,2,Ar4.10.png,0.3396526235262574,1,23.86,"","Traced solid outer boundary encompassing hatched areas."
Ar4.11,3,Ar4.11.png,0.24651370399373532,1,4.32,"","Traced the thick black line representing the planning-permission boundary."
Ar4.14,4,Ar4.14.png,0.8587753232210119,1,4.14,"","Traced the thick black outline around the diagonally hatched rectangular region located in the central part of the map."
Ar4.15,0,Ar4.15.png,0.8333003043858731,1,6.98,"","Traced the thick black outline encompassing the cross-hatched area."
Ar4.16,1,Ar4.16.png,0.9162086639701115,1,4.83,"","Solid thick black outline with internal hatching delineating the specified area east of the railway tracks."
Ar4.17,2,Ar4.17.png,0.8472257410691665,1,3.88,"","Traced the thick black outline of the hatched polygon labelled 'THE SITE'."
Ar4.18,3,Ar4.18.png,0.5703626904973805,1,6.47,"","Traced the thick black outline enclosing a hatched area on the map."
Ar4.19,4,Ar4.19.png,0.9311270586035365,1,4.88,"","Traced the thick solid black outlined and hatched site boundary labelled 'THE SITE', situated south of Lower Luton Road "
Ar4.1_7a_merged,0,Ar4.1_7a_merged.png,0.12948652985389747,6,10.15,"","Traced multiple Article 4 area boundaries, coloured with various colour washes."
Ar4.2,1,Ar4.2.png,0.9270720747768304,1,4.52,"","Red solid outline around the proposed site at Lower Luton Road."
Ar4.20,2,Ar4.20.png,0.8853306174795368,1,3.51,"","Purple hatched area outlining the Cunningham Avenue Article 4 Direction."
Ar4.21,3,Ar4.21.png,0.904247623747551,1,5.05,"","Trace of the solid red boundary delineating the Proposed Article 4 boundary around Alban Park/Acrewood Way/Lyon Way indu"
Ar4.22,4,Ar4.22.png,0.9518635957926822,1,,"","resumed from existing pred_mask"
Ar4.23,0,Ar4.23.png,0.8667556153987392,1,,"","resumed from existing pred_mask"
Ar4.24,1,Ar4.24.png,0.9583185354304076,1,3.78,"","Solid red line tracing the boundary of the North Orbital Trading Estate."
Ar4.25,2,Ar4.25.png,0.814703819862401,1,3.98,"","Red solid outline around a site including multiple buildings"
Ar4.26,3,Ar4.26.png,0.4539450160615344,1,5.08,"","I traced the red solid outline around Southdown Industrial Estate, Harpenden, identified as 'Proposed Article 4 boundary"
Ar4.27,4,Ar4.27.png,0.8659931354550326,1,4.99,"","Red solid outline around the area of St Albans Abbey Station and surrounding buildings."
Ar4.28,0,Ar4.28.png,0.5205263474930575,1,9.19,"","Red solid outline around St Albans City Core denoting proposed Article 4 boundary"
Ar4.29,1,Ar4.29.png,0.8308794171056045,1,4.72,"","Traced the solid red line bounding the Proposed Article 4 boundary as identified in the legend."
Ar4.3,2,Ar4.3.png,0.27394532041621145,1,10.09,"","Trace encompassing a complex boundary line drawn to outline an Article 4 Area, tracing the inner face of the thick line "
Ar4.30,3,Ar4.30.png,0.8096668109840913,1,3.92,"","Traced hatched polygon bounding the denoted region."
Ar4.4,4,Ar4.4.png,0.9054174468872584,1,4.76,"","Red dashed line tracing the boundary around a residential development."
Ar4.5,0,Ar4.5.png,0.5263553722209964,1,,"","resumed from existing pred_mask"
Ar4.6,1,Ar4.6.png,0.6409768296271466,1,5.02,"","solid black line boundary denoting Article 4 area"
Ar4.8,2,Ar4.8.png,0.3617460932455121,1,4.2,"","thick black solid outline around the area of land labelled Article 4 boundary"
Ar4.9,3,Ar4.9.png,0.9016280253634142,1,3.84,"","Red solid outline enclosing fields on Colney Heath Farm."
Art4D04,4,Art4D04.png,0.7983946177538414,1,,"","resumed from existing pred_mask"
Art4D05,0,Art4D05.png,0.9063719681948584,1,6.28,"","Red solid outline encompassing the town center and adjacent lands."
Art4D11,1,Art4D11.png,0.9033020593960861,1,5.07,"","Red solid outline around a site south of a railway line, west of roads, near The Lane and Scott Arms."
B4BE31D4-36A8-452E-97FF-04A53362B26C,2,B4BE31D4-36A8-452E-97FF-04A53362B26C.png,0.9062377753098672,1,4.85,"","Traced the solid black outline enclosing a pink cross-hatched region located centrally on the map, matching the 'Land at"
B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE,3,B6C8BCAD-105E-4CA8-83B3-5A20DA5602EE.png,0.060366196802175295,1,11.91,"","solid filled pink region in upper right representing Area of Article 4 Direction."
B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D,0,B9CDCF90-EC6A-4B66-A967-DEBF3B72D58D.png,0.7982596941792683,1,4.22,"","Red solid block region traced."
C69CB574-81DC-4130-B7D7-EB68C744D477,4,C69CB574-81DC-4130-B7D7-EB68C744D477.png,0.6766363695808539,2,5.62,"","Two red solid areas showing the Areas of Article 4 Direction."
C97065B6-03D0-48C4-AE0E-508DB0BE644B,0,C97065B6-03D0-48C4-AE0E-508DB0BE644B.png,0.6142609142806328,1,3.89,"","Solid red wash denoting the specified land area"
CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6,1,CA054DBB-E2B9-495B-A1B4-E66E3FCEFCB6.png,0.5045828778574885,1,10.24,"","Traced the red hatched boundary."
CB:11:04552:ART4,2,CB_11_04552_ART4.png,0.9589574595566207,1,5.14,"","A red line outlines the Wrestle Park Estate."
CB:75:00001:ART4,3,CB_75_00001_ART4.png,0.7107775036663976,1,,"","resumed from existing pred_mask"
CB:82:00001:ART4,4,CB_82_00001_ART4.png,0.659708869374459,1,5.87,"","Traced hatched area with solid black lines around the boundary, representing the site location."
CPA4(1a),0,CPA4_1a_.png,0.6320907484728249,1,,"","resumed from existing pred_mask"
CPA4(2a),1,CPA4_2a_.png,0.5190616280303587,1,,"","resumed from existing pred_mask"
CPA4(3a),2,CPA4_3a_.png,0.9187120752154685,1,6.5,"","Red solid outline around Coombe Wood."
CPA4(4a),3,CPA4_4a_.png,0.9433742737821886,1,3.81,"","Solid red line denoting the boundary of the site"
D9176429-F30F-4638-A67E-3B87E7ED603D,4,D9176429-F30F-4638-A67E-3B87E7ED603D.png,0.9523471978792926,1,3.82,"","Red and black hatched boundary traced."
D93BF228-6271-4271-A085-9DAB7155FC66,0,D93BF228-6271-4271-A085-9DAB7155FC66.png,0.5368109469565693,1,,"","resumed from existing pred_mask"
DE5A30DA-29A4-45BE-B60A-C201A5F11C6F,0,DE5A30DA-29A4-45BE-B60A-C201A5F11C6F.png,0.20569535237754097,1,3.59,"","Solid pink wash highlighting a rectangular area of land."
DEEADDA2-0FC2-422B-B738-F5D274549610,1,DEEADDA2-0FC2-422B-B738-F5D274549610.png,0.92835797144522,1,4.35,"","Red solid outline around the site boundary."
E6369A1B-AA37-4B67-AF76-3BC17E3A5885,2,E6369A1B-AA37-4B67-AF76-3BC17E3A5885.png,0.7795923523099315,1,3.88,"","Red solid outline around Former Royal Marines Sports Ground."
ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047,3,ED3ECD0D-3B13-4BE3-8C75-62A1EC8DD047.png,0.2846366870763487,1,4.57,"","Traced the solid red-filled area in Limekiln Wood."
F9A7310C-0DDD-469E-B34D-C270A186070F,4,F9A7310C-0DDD-469E-B34D-C270A186070F.png,0.5957774063296111,1,6.35,"","Solid red line denoting the boundary of the Nelson Street Conservation Area."
FA067403-6115-4489-9ED0-2CF26FC2D299,0,FA067403-6115-4489-9ED0-2CF26FC2D299.png,0.8905919823080289,1,8.41,"","Traced the solid pink hatched area outlined in black representing the Town and Country Planning Direction Number 1 2011"
FDBC0FDC-D090-4778-A123-232EB71DF3C6,0,FDBC0FDC-D090-4778-A123-232EB71DF3C6.png,0.7459647402727091,1,4.46,"","Red solid fill identifying the site at Townsend Farm."
POLA4_AREA,1,POLA4_AREA.png,0.5872700625566545,1,9.94,"","Solid light red wash overlaid on a grey map background denoting the conservation area"
REG_4:36880,2,REG_4_36880.png,0.477662401959507,1,9.89,"","I traced the boundary of the 'PROPERTIES AFFECTED BY THE DIRECTION', marked with diagonal hatching."
SSA401,3,SSA401.png,0.805169522236362,1,4.64,"","Traced the solid red line polygon marking the site boundary off Wolverhampton Road, Prestwood."
SSA402,4,SSA402.png,0.8817745077129199,2,6.98,"","Red solid outline around a large site."
SSA403,0,SSA403.png,0.4037908094508608,1,5.25,"","Red solid outline encompassing an application site."
SSA404,1,SSA404.png,0.8232943568886629,1,3.56,"","Solid red line around the Filling Station"
SSA405,2,SSA405.png,0.7784550757798471,1,3.83,"","Solid red line outlining a curtilage, plus blue outline corresponding to proposed new building and green outline represe"
SSA407,3,SSA407.png,0.9296582318090427,1,3.87,"","Solid black line describing an irregularly shaped boundary on the map"
SSA408,4,SSA408.png,0.7792626412062664,1,3.13,"","Solid thick black outline encompassing the 'Curtilage of dwelling' at Greenacres."
SSA409,0,SSA409.png,0.9262022800071726,1,4.58,"","Thick red solid outline denoting the Article 4 Direction boundary at Land at Himley Park, Himley."
SSA410,1,SSA410.png,0.7255026904559615,1,3.47,"","Traced a red solid outline around a triangular piece of land."
SSA412,2,SSA412.png,0.7550397976642118,1,3.94,"","Traced the solid red boundary outlining a parcel of land adjacent to a road near Junction 12."
SSA414,3,SSA414.png,0.8293265089879356,1,8.29,"","Red solid outline around the main field and access off Swindon Road and Hinksford Lane."
SSA415,4,SSA415.png,0.9141520733260209,1,5.24,"","Thick black solid outline tracing out a polygon east of Stone Cross and north of Teddesley Road, Penkridge."
SSA416,0,SSA416.png,0.8985062852124469,1,3.63,"","Traced the thick solid red line marking the site boundary."
